序号,英文单词,词性,中文释义
1,a (an),art.,一个(件、份.....)
2,abandon,vt.,放弃;丢弃;离弃;遗弃;抛弃
3,ability,n.,能力;本领
4,able,adj.,能够.....的;能力出众的;聪明能干的
5,abnormal,adj.,反常的;异常
6,aboard,adv./prep.,在船(或飞机、车等)上;上船;登机;上车;在(船、飞机、车)上
7,about,prep./adv.,关于;在.....周围;在....各处;在....附近;(时间上)在.....前后;在四周;到处
8,above,prep./adv.,在...上方;多于;大于;高于;在(或向)上面
9,abroad,adv.,到国外;在国外
10,absence,n.,不在,缺席;缺乏,不存在
11,absent,adj.,不在场的;缺席的;缺乏的
12,absolute,adj.,完全的;不容置疑的;绝对的
13,absolutely,adv.,完全地;绝对地;确实
14,absorb,vt.,吸收;吸引.....的注意;使全神贯注
15,abstract,adj./n.,抽象的;摘要,梗概
16,abuse,n.,滥用;妄用;虐待;辱骂
17,academic,adj.,学校的;学术的;普通文化课的
18,accent,n.,重音;口音;腔调
19,accept,vt.,接受;认可
20,access,n./vt.,接近(或进入)的机会;享用权;通道;入口;接近;进入
21,accident,n.,意外事情;事故
22,accommodate,vt.,向.....提供住处(或膳宿);容纳
23,accommodation,n.,(<英>~,<美>~s)住处;膳宿;方便设施
24,accompany,vt./vi.,陪伴,陪同;为......伴奏;伴奏;伴唱
25,accomplish,vt.,达到;完成;实现
26,accomplishment,n.,成就;完成
27,according to,phr.,按照;根据
28,account,n./vt./vi.,记述,陈述;理由;解释;账目;把......视作;把......归因于;报账;提出理由;(在数量、比例方面)占
29,accountant,n.,会计人员
30,accurate,adj.,准确的;精确的;正确无误的
31,accuse,vt.,指控;指责
32,accustom,vt.,使习惯于
33,accustomed,adj.,适应了的;习惯的
34,ache,vi./n.,疼痛
35,achieve,vt.,完成;实现;达到;得到
36,achievement,n.,成就;成绩
37,acid,adj./n.,酸的;【化】酸
38,acknowledge,vt.,承认;告知(或确认)(信件等的)收到;对.....表示感谢
39,acquire,vt.,取得;获得;学到
40,across,prep./adv.,穿过.....;越过.....;在....对面;从一边到另一边
41,act,v./vt./n.,行动;做事;表演;起作用;扮演(角色);行为,行动;法令;法案;(戏)幕
42,action,n.,行动;行为
43,active,adj.,积极的;活跃的;勤奋的
44,activity,n.,活动
45,actor,n.,男演员
46,actress,n.,女演员
47,actual,adj.,实际的,事实上的,真实的
48,actually,adv.,实际上;事实上
49,ad,n.,广告
50,adapt,vt.,(使)适应,(使)适合;改编;改写
51,adaptation,n.,改编本;改写本
52,add,v.,加;添加;进一步说(或写)
53,addict,vt.,使沉溺,使人迷;使成瘾
54,addition,n.,加;增加的人(或物)
55,additional,adj.,附加的;额外的
56,address,n./vt.,演说,讲话;地址;住址;对.....发表演说;在(信封等)上写姓名地址;对付;处理
57,adequate,adj.,足够的;恰当的
58,adjust,v.,调整;调节
59,administration,n.,管理;经营;支配
60,admire,vt.,赞美;钦佩
61,admission,n.,准许进入;入场费;入场券;录用;承认
62,admit,v.,准许.....进入(或加入);承认
63,adolescent,n./adj.,(尤指16岁以下的)青少年;青春期的;青少年的
64,adopt,vt.,采纳;通过,批准;收养
65,adorable,adj.,讨人喜欢的;可爱的
66,adore,vt.,崇拜;敬爱;爱慕;<口>极度喜爱
67,adult,n./adj.,成年人;成年的
68,advance,vi./vt./n.,前进;向前移动;使向前移动;促进;前进;进展
69,advanced,adj.,在前面的;先进的;高级的
70,advantage,n./vt.,有利条件;好处,利益;有利于;使.....处于有利地位
71,adventure,n./v.,冒险性;冒险活动;奇遇;(使)冒险;担风险
72,advertise,vt.,为·.....做广告;登广告
73,advertisement,n.,广告
74,advice,n.,劝告;忠告;意见
75,advise,vt.,劝告;建议
76,advocate,vt.,拥护;提倡;主张
77,aeroplane,n.,<英>飞机
78,affair,n.,事务;事件;[~s]私事
79,affect,vt.,影响;(在感情方面)打动;震动;(疾病)侵袭
80,affection,n.,影响;疾病;慈爱;喜爱;感情
81,afford,vt.,买得起;担负得起;提供
82,afraid,adj.,怕的,害怕的;<口>恐怕;遗憾的
83,Africa,n.,非洲
84,African,adj./n.,非洲的;非洲人
85,after,prep./conj.,在.....之后
86,afternoon,n.,下午;午后
87,afterward(s),adv.,后来
88,again,adv.,再一次;又;另外
89,against,prep.,(反)对;对着;以.....为抵御对象;紧靠;以.....为背景
90,age,n./v.,年龄;时代;老,老年;(使)变老,显老
91,aged,adj.,(年)老的;旧的;.....岁的
92,agency,n.,代理处;代理
93,agenda,n.,议事日程;日常工作事项
94,agent,n.,代理人;代理商
95,aggressive,adj.,侵犯的,侵略的;积极进取的
96,ago,adv.,以前
97,agree,v.,表示同意;持相同意见;达成协议;相符
98,agreeable,adj.,令人愉快的;惬意的
99,agreement,n.,协定;协议;契约
100,agriculture,n.,农业;农艺
101,ahead,adv.,在前面;向前
102,aid,n./vt.,帮助;援助;辅助物;帮助;援助
103,AIDS,n.,艾滋病
104,aim,vt./vi./n.,把.....瞄准;使旨在;瞄准;目的在于;瞄准;目的;目标
105,air,n./vt.,空气;气氛;空中;神态;飞机;航空;使公开
106,air-conditioned,adj.,装有空调设备的
107,aircraft,n.,飞机;飞艇;航空器
108,airline,n.,航空公司
109,airmail,n.,航空邮件
110,airport,n.,机场
111,alarm,n./vt.,惊恐;警报;闹铃;使惊恐;向·.....报警
112,album,n.,粘贴薄;唱片,音乐专辑
113,alcohol,n.,含酒精的饮料;酒;酒精,乙醇
114,alert,adj./vt./n.,警觉的;警惕的;向......报警;使警觉;警戒状态
115,alike,adv./adj.,一样地;相似地;同样的;相像的
116,alive,adj.,活着的;在世的;有活力的
117,all,adj./pron./n.,全部的;一切的;全体;所有的一切
118,allow,vt.,允许,准许;承认
119,allowance,n.,津贴,补贴;零用钱
120,almost,adv.,几乎,差不多
121,alone,adj./adv.,仅;单独的;唯一的;单独地;独自地
122,along,prep./adv.,沿着;向前;一道,一起
123,alongside,adv./prep.,在旁边;在.....旁边;沿着.....的边
124,aloud,adv.,大声地;出声地
125,alphabet,n.,字母表;初步,入门;基础知识
126,already,adv.,已经
127,also,adv.,而且(也),(此外)还
128,alter,v.,改变;(使)变样
129,alternative,adj./n.,供选择的;两者择一;抉择;供选择的东西
130,although,conj.,虽然,尽管
131,altogether,adv.,总共;全部地;完全
132,always,adv.,总是
133,a.m.,n.,上午
134,amateur,n./adj.,业余爱好者;业余爱好的
135,amaze,vt.,使惊异,使大为惊奇
136,amazed,adj.,吃惊的;大为惊奇的
137,amazing,adj.,令人大为惊奇的;太棒了
138,ambition,n.,强烈欲望;志向
139,ambitious,adj.,有抱负的;野心勃勃
140,ambulance,n.,救护车
141,America,n.,美洲;美国
142,American,n./adj.,美国人;美国英语;美洲的;美国的
143,amid,prep.,在......之中;在......过程中
144,among,prep.,在.....中间,在.....之中
145,amount,n./vi.,数量;总数;合计,共计;等同;接近
146,amuse,vt.,逗乐,逗笑;给.....提供娱乐
147,analyse,vt.,分析
148,analysis,n.,分析
149,ancestor,n.,祖先;先驱;原型
150,anchor,n./v.,错;固定桩;精神支柱;抛错;停泊;使固定
151,ancient,adj./n.,古代的;古代人
152,and,conj.,和
153,anger,n./vt.,怒;愤怒;使发怒,激怒
154,angle,n.,角度
155,angry,adj.,发怒的,生气的
156,animal,n.,动物
157,ankle,n.,脚踝
158,anniversary,n./adj.,周年纪念(日);周年的,每年的
159,announce,vt.,宣布,宣告
160,announcement,n.,宣布,宣告;通告
161,announcer,n.,宣告者;电台节目报告员
162,annoy,vt.,使恼怒;使烦恼;打扰
163,annual,adj./n.,每年的;年度的;年刊
164,another,adj./pron.,另一的;再一个;又一个,再一个
165,answer,v./n.,回答;答复;作出反应;响应
166,ant,n.,蚂蚁
167,anticipate,vt.,期待;预期;预料
168,antipollution,n.,防止(环境)污染
169,antique,n./adj.,古董;古玩;古时的;古董的
170,anxiety,n.,焦虑,挂虑;渴望;挂念
171,anxious,adj.,焦虑的;急切的;渴望的
172,any,adj./pron.,任一的;一些
173,anybody,pron.,任何人
174,anyhow,adv.,不管怎样说;无论如何
175,anymore,adv.,再也(不),(不)再
176,anyone,pron.,任何人
177,anything,pron.,任何事情;任何东西
178,anyway,adv.,无论如何;不管怎么说
179,anywhere,adv.,在(或往)任何地方
180,apart,adv.,成零碎;相间隔;于一旁
181,apartment,n.,一套公寓房间;<美>公寓大楼
182,ape,n./vt.,类人猿;模仿者;模仿
183,apologise,vi.,道歉,认错
184,apology,n.,道歉,认错
185,app,n.,应用软件;应用程序
186,apparent,adj.,显然的
187,apparently,adv.,显然,显而易见地
188,appeal,vi./n.,呼吁;上诉;有吸引力;呼吁;上诉;吸引力
189,appear,vi.,出现;变得明显;看来好像
190,appearance,n.,出现;外观,外表
191,appetite,n.,食欲;欲望;爱好;趣味
192,applaud,vt./vi.,向......鼓掌;称赞;鼓掌
193,applause,n.,鼓掌;喝彩
194,apple,n.,苹果
195,appliance,n.,器具;(家用)电器
196,applicant,n.,申请人
197,application,n.,应用;申请(表);应用程序
198,apply,vt./vi.,应用;涂;敷;申请;适用
199,appoint,vt.,任命;委派;约定
200,appointment,n.,约会;预约;任命
201,appreciate,vt.,为.....表示感激;重视;赏识;欣赏
202,appreciation,n.,感激;重视;赏识,欣赏
203,approach,v./n.,接近;临近;接近;入门;方式,方法
204,appropriate,adj.,合适的,适当的
205,approve,vt./vi.,批准;赞成;赞成
206,approximately,adv.,估计;近似
207,April,n.,四月
208,arch,n./v.,拱;拱形;(使)成弓形
209,architect,n.,建筑师;设计师
210,architecture,n.,建筑学;建筑式样;建筑工程
211,arctic,adj./n.,北极的;北极;北极圈
212,area,n.,地区;领域;面积
213,argue,v.,争辩,争论;坚决主张,认为
214,argument,n.,争论,辩论;论据,论点
215,arise,v.,起立,起身;上升;产生;出现
216,arithmetic,n.,计算;算术
217,arm,n.,臂;前肢
218,arm,n./vt.,武器;军火;以武器装备;配备
219,around,prep./adv.,在.....周围;环绕;在周围;大约
220,arouse,vt./vi.,唤醒;引起;使奋发;醒来;发奋
221,arrange,vt./vi.,安排;整理;作安排,作准备
222,arrangement,n.,安排
223,arrest,vt./n.,拘捕,逮捕
224,arrival,n.,到达;到来
225,arrive,vi.,到达;到来
226,arrow,n.,箭;箭头符号
227,art,n./adj.,美术;艺术;文科;美术品的;艺术品的
228,article,n.,文章;物品
229,artificial,adj.,人工的,人造的
230,artist,n.,艺术家;画家
231,as,conj./prep.,当....的时候;像.....;作为
232,ash,n.,灰;[~es]灰烬
233,ashamed,adj.,惭愧的,羞耻的;因怕羞而不愿的
234,Asia,n.,亚洲
235,Asian,adj./n.,亚洲的;亚洲人
236,aside,adv.,在旁边;到(或向)一边
237,ask,v.,问;请求,要求
238,asleep,adj.,睡着的
239,aspect,n.,方面
240,aspirin,n.,阿司匹林(药片)
241,assemble,v.,集合;召集;装配
242,assess,vt.,对.....进行估价;评价,评论
243,assign,vt.,分配;布置(作业);指派
244,assist,vt.,协助，帮助
245,assistant,n.,助手,助理
246,associate,vt.,使结合在一起;使有联系
247,association,n.,联合,联盟;协会,社团
248,assume,vt.,假定,想当然地认为;承担;假装
249,assumption,n.,假定;担任;承担;假装
250,assure,vt.,使(某人)确信;确保
251,astonish,vt.,使惊讶
252,astronaut,n.,宇航员;航天员
253,astronomer,n.,天文学家
254,at,prep.,在.....里(上、旁、时刻......)
255,athlete,n.,运动员;<英>田径运动员
256,athletic,adj.,运动员的;运动的
257,Atlantic,adj.,大西洋的
258,atmosphere,n.,大气;气氛
259,atom,n.,原子
260,attach,vt./vi.,连接;使依附;附属
261,attack,vt./n.,攻击,进攻;侵害
262,attain,vt.,达到;获得;到达
263,attempt,vt./n.,企图;试图;尝试
264,attend,vt./vi.,出席,参加;护理;照料
265,attention,n.,注意;注意力;照料
266,attitude,n.,态度,看法
267,attract,vt.,吸引;引起
268,audience,n.,听众;观众
269,audio-visual,adj.,视听的
270,August,n.,八月
271,aunt,n.,姨;姑;婶母;舅母
272,Australia,n.,澳大利亚
273,Australian,n./adj.,澳大利亚人;澳大利亚的
274,author,n.,著作者
275,authority,n.,权力,职权;当局,官方
276,auto,n.,汽车
277,automatic,adj.,自动的
278,autonomous,adj.,自主的;自治的
279,autumn,n.,秋;秋季
280,available,adj.,可获得的;可利用的;可取得联系的
281,avenue,n.,林荫道;大街
282,average,adj./n./vt./vi.,中等的;平均的;平均数;算出平均数;平均数为
283,avoid,vt.,避免
284,await,vt.,等候;等待处理
285,awake,adj./vi./vt.,醒着的;意识到;醒;唤醒
286,awaken,vt./vi.,唤醒;使意识到;醒,觉醒
287,award,vt./n.,授予;奖;奖品;奖状
288,aware,adj.,意识到的;知道的
289,away,adv.,向远处;离开;向一边
290,awesome,adj.,令人惊叹的
291,awful,adj.,可怕的;不舒服;非常的;极坏的
292,awkward,adj.,笨拙的;使用不便的;难处理的
293,baby,n.,婴儿;幼畜;幼兽
294,bachelor,n.,单身男子;学士,学士学位
295,back,n./v./adj./adv.,背部;后退;背后的;向后
296,background,n.,背景
297,backward,adj./adv.,向后的;落后的;向后
298,bacon,n.,培根
299,bacteria,n.,细菌
300,bad,adj.,坏的
301,badly,adv./adj.,坏;差;严重地;有病的
302,badminton,n.,羽毛球运动
303,bag,n./vt.,手提包;把......装进袋子
304,baggage,n.,<美>行李
305,bake,v./n.,烘，焙，烤
306,bakery,n.,面包烘房;面包店
307,balance,n./v.,天平;平衡;称;权衡;平衡
308,ball,n.,球
309,ball,n.,球
310,ballet,n.,芭蕾舞(剧);芭蕾舞团
311,balloon,n./vi.,气球;乘气球上升
312,bamboo,n.,竹子
313,ban,vt./n.,禁止;取缔;禁令
314,banana,n.,香蕉
315,band,n.,群;伙;队;乐队
316,band,n.,带;带状物
317,bandage,n./v.,绷带;用绷带扎缚
318,bank,n.,岸
319,bank,n.,银行
320,bar,n.,棒;条;酒吧间;柜台
321,barbecue,n./vt.,户外烤肉餐;烤;炙
322,barber,n.,理发师
323,bare,adj.,无遮盖的;赤裸的;光秃的
324,bargain,n./vi.,协定;特价商品;讨价还价
325,bark,vi./vt./n.,吠;厉声说出;吠声
326,barrier,n.,障碍(物);栅栏
327,base,n./vt.,基,底;基础;把.....建立在基础上
328,baseball,n.,棒球(运动)
329,basement,n.,地下室
330,basic,adj.,基础的;基本的
331,basin,n.,盆,洗脸盆;盆地
332,basket,n.,篮,篓,筐
333,basketball,n.,篮球(运动)
334,bat,v./n.,击球;球拍
335,bat,n.,蝙蝠
336,bath,n.,洗澡;浴室;浴盆
337,bathe,vi.,洗澡;游泳
338,bathroom,n.,浴室,盥洗室
339,battery,n.,电池(组)
340,battle,n./v.,战役;战斗;作战;搏斗
341,bay,n.,(海或湖泊的)湾
342,BC,n.,公元前
343,be,v.,是
344,beach,n.,海滩;海滨;湖(江)滨
345,bean,n.,豆;豆类
346,bean curd,n.,豆腐
347,bear,vt.,忍受;刻有;承受;生育
348,bear,n.,熊
349,beard,n.,胡须
350,beast,n.,野兽
351,beat,vt./vi./n.,打,击;跳动;拍子,节拍
352,beautiful,adj.,美丽的;出色的
353,beauty,n.,美丽;美人
354,because,conj.,因为
355,become,v.,变成;开始变得
356,bed,n.,床;河床
357,bedroom,n.,卧室
358,bedtime,n./adj.,就寝时间;适用于临睡前的
359,bee,n.,蜜蜂
360,beef,n.,牛肉
361,beer,n.,啤酒
362,before,prep./conj.,在......之前
363,beg,v.,乞求,恳求
364,beggar,n.,乞丐
365,begin,v.,开始
366,behalf,n.,利益;方面;支持
367,behave,vi./vt.,举止;检点(自己的行为)
368,behaviour,n.,行为;举止;表现
369,behind,prep./adv.,在.....的背后;在背后
370,being,n.,存在;人;生物
371,belief,n.,相信;信念;信仰
372,believe,v.,相信;认为
373,bell,n.,铃;钟;钟声
374,belong,vi.,属(于);应被放置(在某处)
375,below,adv./prep.,在下面;在......下面
376,belt,n.,腰带;皮带;地带;地区
377,bench,n.,长凳;长椅
378,bend,vt./v./n.,使弯曲;变弯曲;弯曲处
379,beneath,adv./prep.,在下方;在.....下方
380,beneficial,adj.,有益的
381,benefit,v./n.,有益于;得益;益处,好处
382,beside,prep.,在.....旁边
383,besides,adv./prep.,而且,此外;除......之外
384,best,adj./adv.,最好的;最好地
385,bet,n./v.,打赌
386,better,adj./adv.,更好的;更好地
387,between,prep.,在·.....之间
388,beyond,adv./prep.,在更远处;远于;越出
389,Bible,n.,《圣经》
390,big,adj.,大的
391,bike,n.,自行车
392,bill,n.,账单;议案;钞票
393,billion,n./adj.,十亿;大量的
394,bin,n.,箱子;垃圾箱
395,bind,vt.,捆绑;装订;约束
396,biology,n.,生物学
397,bird,n.,鸟
398,birth,n.,出生
399,birthday,n.,生日
400,biscuit,n.,饼干
401,bit,n.,少许,一点儿
402,bite,v./n.,咬,叮,蜇
403,bitter,adj.,有苦味的;使人悲痛的
404,black,adj./n.,黑色的;黑色
405,blackboard,n.,黑板
406,blame,vt./n.,指责,责怪
407,blank,n./adj.,空白;空白的;茫然的
408,blanket,n.,毯子;覆盖物
409,bleed,vi.,出血
410,bless,vt.,对.....祈神赐福;为......祝福
411,blind,adj./vt.,失明的;盲目的;使失明
412,block,n./vt.,街区;堵塞;阻碍
413,blog,n.,网络日志;博客
414,blood,n.,血,血液
415,bloom,n./vi.,开花
416,blossom,vi./n.,开花;花簇
417,blouse,n.,女衬衫;短上衣
418,blow,v./n.,吹;吹风;一击
419,blow,n.,一击;打击
420,blue,adj./n.,蓝色的;忧郁的;蓝色
421,board,n./vt.,木板;上船;供膳宿
422,boast,vi./vt./n.,自吹自擂;吹嘘
423,boat,n./vi.,艇;小船;乘船
424,body,n.,身体,躯体
425,boil,vi./vt./n.,沸腾;煮沸;沸点
426,bold,adj.,勇敢的;冒失的,鲁莽的
427,bomb,v./n.,轰炸;炸弹
428,bond,n.,纽带;黏合剂
429,bone,n.,骨头
430,bonus,n.,额外给予的东西;奖金
431,book,v./n.,预订;书
432,booklet,n.,小册子
433,bookshop,n.,书店
434,boom,v./n.,繁荣;隆隆声
435,boost,vt.,推动;提高;增加
436,boot,n.,靴子
437,border,n./v.,边界;接界
438,bore,vt.,令(人)厌烦
439,bore,vt.,钻(井)
440,bored,adj.,厌烦的,厌倦的
441,boring,adj.,无聊的;令人厌倦的
442,borrow,v.,借
443,boss,n.,老板;上司
444,botanical,adj.,植物学的
445,botanist,n.,植物学家
446,botany,n.,植物学
447,both,adj./adv.,(两者)都
448,bother,vt./vi./n.,打扰;麻烦;烦恼
449,bottle,n.,瓶
450,bottom,n.,底;底部
451,bounce,vi./n.,弹起,反弹
452,bound,vi./n.,跳跃
453,boundary,n.,边界;分界线
454,bow,vi./n.,鞠躬;欠身
455,bow,n.,弧状物;弓
456,bowl,n.,碗;钵
457,bowling,v./n.,打保龄球;保龄球运动
458,box,n./vt.,箱;盒;装箱
459,box,n.,耳光;击打
460,boxing,n.,拳击;拳术
461,boy,n.,男孩
462,brain,n.,脑,脑袋;智力
463,brake,n./v.,制动器;刹车
464,branch,n./vi./vt.,树枝;分支;分叉
465,brand,n./vt.,商标;打烙印于
466,brass,n.,黄铜
467,brave,adj./vt.,勇敢的;勇敢地面对
468,bread,n.,面包
469,break,vt./vi./n.,打破;破裂;间歇
470,breakfast,n.,早餐
471,breast,n./vt.,胸部;挺胸迎上
472,breath,n.,呼吸
473,breathe,v.,呼吸
474,breed,n./vi./vt.,品种;繁殖
475,breeze,n.,微风
476,bribe,n./vt.,贿赂;行贿
477,brick,n.,砖
478,bride,n.,新娘
479,bridegroom,n.,新郎
480,bridge,n./vt.,桥;架桥;跨越
481,brief,adj./n./vt.,简短的;概要;概述
482,brigade,n.,(执行特定任务的)队
483,bright,adj.,明亮的;聪明的
484,brilliant,adj.,灿烂的;才华横溢的
485,bring,vt.,带来
486,Britain,n.,英国
487,British,n./adj.,英国人;英国的
488,broad,adj.,宽的,广泛的
489,broadcast,v./n.,广播;播出
490,brochure,n.,小册子;情况介绍手册
491,brother,n.,兄弟
492,brow,n.,额(头);眉
493,brown,adj./n.,棕色的;棕色
494,browse,v.,随便翻阅;浏览
495,brunch,n.,早午餐
496,brush,n./vt.,刷子;刷,擦
497,BS,n.,理学士
498,bubble,n./vi.,泡;冒泡
499,bucket,n.,水桶
500,budget,n./v.,预算;编入预算
501,buffet,n.,餐具架;自助餐
502,build,v./n.,建筑;体形
503,building,n.,建筑物,房屋
504,bulb,n.,灯泡;球茎
505,bull,n.,公牛
506,bullet,n.,枪弹,子弹
507,bump,v./n.,碰,撞;颠簸
508,bunch,n.,束,串
509,burden,n./vt.,负荷;加负荷于
510,burn,vi./vt./n.,燃烧;烧伤
511,burst,vi./n.,爆炸;爆发;冲刺
512,bury,vt.,掩埋;埋藏;掩藏
513,bus,n.,公共汽车
514,bush,n.,灌木(丛)
515,business,n.,商业;生意
516,busy,adj.,忙的,繁忙的
517,but,conj.,但是
518,butcher,n.,屠夫;肉食品商
519,butter,n./vt.,黄油;涂黄油于
520,butterfly,n.,蝴蝶
521,button,n./vt.,纽扣;按钮;扣上
522,buy,vt./vi.,购买;购物
523,by,prep./adv.,在旁边;经过;通过
524,bye,int.,再见
525,cabbage,n.,卷心菜，甘蓝
526,cabin,n.,小木屋;机舱;船舱
527,cable,n./adj.,钢索;电缆;有线电视的
528,cafe,n.,咖啡馆;小餐馆
529,cafeteria,n.,自助餐馆(或食堂)
530,cage,n.,笼子
531,cake,n.,蛋糕,饼
532,calculate,v.,计算;估计;揣测
533,calculator,n.,计算器
534,calendar,n.,日历;日程表
535,call,vt./vi./n.,呼喊;打电话;呼叫
536,calligraphy,n.,书法
537,calm,adj./n./v.,平静的;平静;使平静
538,calorie,n.,卡(路里)
539,camel,n.,骆驼
540,camera,n.,照相机;摄像机
541,camp,n./vi.,营地;宿营
542,campaign,n./vi.,战役;运动;参加运动
543,campus,n.,(大学的)校园
544,can,v.aux./n./vt.,会;能够;罐头;装罐
545,can,v.aux./n./vt.,会;能够;罐头;装罐
546,Canada,n.,加拿大
547,Canadian,n./adj.,加拿大人;加拿大的
548,canal,n.,运河;沟渠
549,cancel,vt.,取消;删去
550,cancer,n.,癌(症)
551,candidate,n.,候选人;求职者
552,candle,n.,蜡烛
553,candy,n.,<美>糖果
554,canteen,n.,小卖部;食堂
555,cap,n./vt.,便帽;覆盖;笼罩
556,capable,adj.,有能力的
557,capacity,n.,容量;能力
558,capital,n./adj.,首都;资本;首都的;大写的
559,capsule,n.,胶囊;航天舱
560,captain,n.,首领;船长;队长;上尉
561,capture,vt./n.,捕获;占领;俘虏
562,car,n.,汽车;车厢
563,carbon,n.,碳
564,card,n.,卡,卡片
565,care,vi./n.,关心;照管;忧虑
566,career,n.,生涯;职业
567,careful,adj.,小心的,仔细的
568,careless,adj.,粗心的,疏忽的
569,cargo,n.,货物
570,carpenter,n.,木匠
571,carpet,n.,地毯
572,carriage,n.,车辆;马车;客车厢
573,carrot,n.,胡萝卜
574,carry,vt.,运载;携带;提,背
575,cart,n.,大车;手推车
576,cartoon,n.,动画片;漫画
577,carve,vt.,切开;雕刻
578,case,n.,事例;实例;情况
579,cash,n./vt.,现金;兑现
580,cashier,n.,出纳员
581,cast,v./n.,扔;投;演员表
582,castle,n.,城堡
583,casual,adj.,偶然的;随便的
584,cat,n.,猫
585,catalogue,n./v.,目录;编目录
586,catch,vt./vi.,捉住;赶上;接住
587,category,n.,种类,类别
588,cattle,n.,牛
589,cause,vt./n.,使发生;原因;事业
590,caution,n./vt.,小心;警告
591,cave,n./vi.,山洞;倒塌
592,CD,n.,激光唱片;光盘
593,cease,v./n.,停止
594,ceiling,n.,天花板
595,celebrate,vt.,庆祝
596,celebrity,n.,名人;名流
597,cell,n.,细胞;电池
598,cellphone,n.,手机，移动电话
599,cement,n./v.,水泥;用水泥粘合
600,cemetery,n.,墓地，坟地
601,cent,n.,分(辅币单位)
602,centigrade,adj./n.,摄氏的;摄氏度
603,centimetre,n.,厘米
604,central,adj.,中心的;主要的
605,centre,n./v.,中心;集中
606,century,n.,世纪;百年
607,ceremony,n.,典礼，仪式
608,certain,adj.,确实的;某一
609,certainly,adv.,无疑地;必定;当然
610,certificate,n./vt.,证书;发证书
611,chain,n./vt.,链条;用链条拴住
612,chair,n./vt.,椅子;担任主席
613,chairman,n.,主席;董事长
614,chalk,n.,粉笔
615,challenge,n./vt./vi.,挑战;向挑战
616,champion,adj./n.,冠军的;冠军
617,championship,n.,冠军称号
618,chance,n./vi.,机会;碰巧
619,change,v./n.,改变;找头;零钱
620,channel,n.,海峡;频道;途径
621,chaos,n.,混乱;杂乱
622,chapter,n.,(书等的)章,回,篇
623,character,n.,性质;性格;角色
624,characteristic,n./adj.,特征;特有的
625,charge,n./vt.,主管;收费;控告
626,charity,n.,仁爱;慈善团体
627,charm,n./vt.,魅力;使陶醉
628,chart,n.,(航海)地图;图表
629,chase,v./n.,追逐;追捕
630,chat,v./n.,闲谈,聊天
631,cheap,adj.,便宜的,廉价的
632,cheat,v./n.,欺骗;骗子
633,check,v./n.,检查;支票
634,checkout,n.,结账离开;付款台
635,cheek,n.,面颊
636,cheer,vt./vi./n.,使振奋;欢呼;喝彩
637,cheese,n.,奶酪
638,chef,n.,厨师,主厨
639,chemical,adj./n.,化学的;化学制品
640,chemist,n.,化学家;药剂师
641,chemistry,n.,化学
642,cheque,n.,<英>支票
643,chess,n.,国际象棋
644,chest,n.,胸;箱子
645,chew,v.,咀嚼
646,chicken,n.,小鸡;鸡肉
647,chief,adj./n.,主要的;首领
648,child,n.,孩子
649,childbirth,n.,分娩;生产
650,childhood,n.,童年;幼年
651,childish,adj.,孩子般的;幼稚的
652,chill,n./adj.,寒冷;冷的
653,chimney,n.,烟囱
654,China,n.,中国
655,china,n.,瓷器
656,Chinese,n./adj.,中国人;汉语;中国的
657,chip,n.,薄片;炸土豆条
658,chocolate,n.,巧克力
659,choice,n.,选择;供选择的东西
660,choir,n.,唱诗班;合唱团
661,choke,v.,哽咽
662,choose,v.,选择;挑选
663,chop,vt./n.,砍;排骨
664,chopsticks,n.,筷子
665,chorus,n.,合唱曲;合唱团
666,Christmas,n.,圣诞节
667,church,n.,教堂;教会
668,cigar,n.,雪茄
669,cigarette,n.,香烟,卷烟
670,cinema,n.,电影院;电影业
671,circle,vt./vi./n.,环绕;盘旋;圆
672,circuit,n.,环行
673,circular,adj.,圆(形)的;循环的
674,circumstance,n.,情况;境况
675,circus,n.,马戏团
676,cite,vt.,引用
677,citizen,n.,公民
678,city,n.,城市
679,civil,adj.,公民的;国内的
680,civilian,n./adj.,平民;平民的
681,civilisation,n.,文明
682,civilise,vt.,使文明;使开化
683,claim,vt./n.,要求;认领;声称
684,clap,vt./vi.,拍手;鼓掌
685,clarify,vt.,澄清;阐明
686,class,n./vt.,班级;把归类
687,classic,n./adj.,经典作品;经典的
688,classical,adj.,古典的;经典的
689,classify,vt.,分类;分级
690,classmate,n.,同班同学
691,classroom,n.,教室,课堂
692,clay,n.,黏土
693,clean,vt./vi./adj.,弄干净;清洁的
694,cleaner,n.,清洁工;吸尘器
695,clear,vt./adj./adv.,扫清;晴朗的;清晰地
696,clerk,n.,职员,办事员
697,clever,adj.,聪明的;灵巧的
698,click,v./n.,点击;咔哒声
699,client,n.,委托人;顾客;客户
